geo_code,country,region,ig_label,air_pollutant,unit_air_poll_lvl,year,GNI_per_capita,population,AQI_Index,air_pollutant_level
AL,Albania,Southern Europe,LM,CO,mg/m3,2011.0,3301.0,5814722.0,7.0,1.0
AL,Albania,Southern Europe,LM,NO2,ug/m3,2011.0,3301.0,5814722.0,124.0,50.0
AL,Albania,Southern Europe,LM,PM10,ug/m3,2011.0,3301.0,5814722.0,207.0,83.0
AL,Albania,Southern Europe,LM,PM2.5,ug/m3,2011.0,3301.0,5814722.0,131.0,33.0
AL,Albania,Southern Europe,UM,NO2,ug/m3,2012.0,3370.0,5806016.0,152.0,61.0
AL,Albania,Southern Europe,UM,O3,ug/m3,2012.0,3370.0,5806016.0,46.0,55.0
AL,Albania,Southern Europe,UM,PM10,ug/m3,2012.0,3370.0,5806016.0,90.0,36.0
AL,Albania,Southern Europe,UM,PM2.5,ug/m3,2012.0,3370.0,5806016.0,90.0,23.0
AL,Albania,Southern Europe,UM,CO,mg/m3,2014.0,3293.0,5784788.0,7.0,1.0
AL,Albania,Southern Europe,UM,NO2,ug/m3,2014.0,3293.0,5784788.0,61.0,25.0
AL,Albania,Southern Europe,UM,O3,ug/m3,2014.0,3293.0,5784788.0,44.0,53.0
AL,Albania,Southern Europe,UM,PM10,ug/m3,2014.0,3293.0,5784788.0,71.0,29.0
AL,Albania,Southern Europe,UM,PM2.5,ug/m3,2014.0,3293.0,5784788.0,52.0,13.0
AL,Albania,Southern Europe,UM,CO,mg/m3,2015.0,3616.0,5771592.0,8.0,1.0
AL,Albania,Southern Europe,UM,NO2,ug/m3,2015.0,3616.0,5771592.0,49.0,20.0
AL,Albania,Southern Europe,UM,O3,ug/m3,2015.0,3616.0,5771592.0,45.0,54.0
AL,Albania,Southern Europe,UM,PM10,ug/m3,2015.0,3616.0,5771592.0,64.0,26.0
AL,Albania,Southern Europe,UM,PM2.5,ug/m3,2015.0,3616.0,5771592.0,66.0,17.0
AL,Albania,Southern Europe,UM,CO,mg/m3,2016.0,3969.0,5751184.0,7.0,1.0
AL,Albania,Southern Europe,UM,NO2,ug/m3,2016.0,3969.0,5751184.0,59.0,24.0
