geo_code,region,ig_label,country,year,num_deaths,population,GNI_per_capita_wb_Atlas_USD_EUR,people_affected,total_death_attributed_sex_standarized
AL,Southern Europe,LM,Albania,2002.0,4882.0,6114036.0,1555.0,4882.0,15.0
AL,Southern Europe,LM,Albania,2003.0,4747.0,6089986.0,1574.0,4747.0,15.0
AL,Southern Europe,LM,Albania,2004.0,4512.0,6068462.0,1663.0,4512.0,14.0
AL,Southern Europe,LM,Albania,2005.0,4222.0,6039268.0,1924.0,4222.0,14.0
AL,Southern Europe,LM,Albania,2006.0,3835.0,6006658.0,2586.0,3835.0,14.0
AL,Southern Europe,LM,Albania,2007.0,3505.0,5963510.0,2628.0,3505.0,13.0
AL,Southern Europe,LM,Albania,2008.0,3435.0,5916532.0,2745.0,3435.0,13.0
AL,Southern Europe,UM,Albania,2009.0,3320.0,5872710.0,3076.0,3320.0,12.0
AL,Southern Europe,UM,Albania,2010.0,3299.0,5837348.0,3027.0,3299.0,12.0
AL,Southern Europe,LM,Albania,2011.0,3406.0,5814722.0,3301.0,3406.0,12.0
AL,Southern Europe,UM,Albania,2012.0,3425.0,5806016.0,3370.0,3425.0,11.0
AL,Southern Europe,UM,Albania,2013.0,3514.0,5795540.0,3441.0,3514.0,11.0
AL,Southern Europe,UM,Albania,2014.0,3665.0,5784788.0,3293.0,3665.0,11.0
AL,Southern Europe,UM,Albania,2015.0,3778.0,5771592.0,3616.0,3778.0,11.0
AL,Southern Europe,UM,Albania,2016.0,3843.0,5751184.0,3969.0,3843.0,11.0
AL,Southern Europe,UM,Albania,2017.0,3928.0,5753182.0,4070.0,3928.0,10.0
AL,Southern Europe,UM,Albania,2018.0,3905.0,5740648.0,4053.0,3905.0,10.0
AL,Southern Europe,UM,Albania,2019.0,4059.0,5724854.0,4568.0,4059.0,10.0
AT,Western Europe,H,Austria,1990.0,11680.0,15289636.0,19171.0,11680.0,7.0
AT,Western Europe,H,Austria,1991.0,11656.0,15421764.0,20177.0,11656.0,7.0
AT,Western Europe,H,Austria,1992.0,11201.0,15597798.0,22583.0,11201.0,7.0
AT,Western Europe,H,Austria,1993.0,10907.0,15765038.0,22802.0,10907.0,7.0
AT,Western Europe,H,Austria,1994.0,10275.0,15857492.0,23859.0,10275.0,7.0
AT,Western Europe,H,Austria,1995.0,10408.0,15886978.0,25613.0,10408.0,7.0
AT,Western Europe,H,Austria,1996.0,10515.0,15906134.0,27215.0,10515.0,6.0
AT,Western Europe,H,Austria,1997.0,10218.0,15929932.0,26613.0,10218.0,6.0
