air_pollutant,unit_air_poll_lvl,air_pollutant_level,air_qual_stat_type,year,country,region,AQI_Index,geo_code,exceedance_amount
NO2,ug/m3,14.447,Industrial,2023,Spain,Southern Europe,36.1175,ES,4.446999999999999
PM10,ug/m3,7.889,Background,2023,Estonia,Northern Europe,19.7225,EE,0.0
PM10,ug/m3,2.73,Background,2023,Finland,Scandinavia Europe,6.825,FI,0.0
PM10,ug/m3,11.451,Industrial,2023,Estonia,Northern Europe,28.6275,EE,0.0
PM10,ug/m3,12.659,Background,2023,Germany,Western Europe,31.6475,DE,0.0
NO2,ug/m3,7.342,Background,2023,Slovakia,Eastern Europe,18.355,SK,0.0
PM10,ug/m3,16.229,Background,2023,Germany,Western Europe,40.5725,DE,1.2289999999999992
NO2,ug/m3,9.352,Background,2023,Belgium,Western Europe,23.380000000000003,BE,0.0
NO2,ug/m3,17.627,Industrial,2023,Belgium,Western Europe,44.0675,BE,7.626999999999999
NO2,ug/m3,10.411,Industrial,2023,Belgium,Western Europe,26.0275,BE,0.4109999999999996
NO2,ug/m3,8.032,Background,2023,Belgium,Western Europe,20.08,BE,0.0
NO2,ug/m3,9.28,Industrial,2023,Belgium,Western Europe,23.2,BE,0.0
NO2,ug/m3,18.317,Industrial,2023,Belgium,Western Europe,45.7925,BE,8.317
PM10,ug/m3,12.956,Traffic,2023,Germany,Western Europe,32.38999999999999,DE,0.0
NO2,ug/m3,23.675,Industrial,2023,Belgium,Western Europe,59.18750000000001,BE,13.675
PM10,ug/m3,14.83,Background,2023,Germany,Western Europe,37.075,DE,0.0
NO2,ug/m3,3.901,Background,2023,Belgium,Western Europe,9.7525,BE,0.0
NO2,ug/m3,3.964,Background,2023,Belgium,Western Europe,9.91,BE,0.0
NO2,ug/m3,19.555,Traffic,2023,Belgium,Western Europe,48.8875,BE,9.555
NO2,ug/m3,16.234,Industrial,2023,Belgium,Western Europe,40.58500000000001,BE,6.234000000000002
NO2,ug/m3,17.384,Background,2023,Belgium,Western Europe,43.46,BE,7.384
PM10,ug/m3,10.053,Background,2023,Germany,Western Europe,25.1325,DE,0.0
PM10,ug/m3,10.002,Traffic,2023,Finland,Scandinavia Europe,25.005,FI,0.0
PM10,ug/m3,10.199,Traffic,2023,Finland,Scandinavia Europe,25.4975,FI,0.0
